# Sample spoofed GnssLogger log (4 of 13 sats spoofed, epochs 30-75)
# Header Description:
Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,3,0,9,388799923698091,2.0,42.2,406.1377,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,6,0,9,388799927761673,2.0,46.8,-439.5802,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,7,0,9,388799922679115,2.0,38.9,591.1755,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,10,0,9,388799928371035,2.0,48.1,213.3187,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,13,0,9,388799932463018,2.0,50.1,21.6142,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,17,0,9,388799922852123,2.0,41.3,342.3522,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,20,0,9,388799921304351,2.0,40.2,-683.0908,,,,,1575420000,,,,,,1,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,3,0,9,388799908783229,2.0,37.1,-107.3923,,,,,1575420000,,,,,,6,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,4,0,9,388799913227864,2.0,42.4,408.6953,,,,,1575420000,,,,,,6,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,8,0,9,388799918764826,2.0,49.0,-162.4375,,,,,1575420000,,,,,,6,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,9,0,9,388799914546341,2.0,43.7,229.7572,,,,,1575420000,,,,,,6,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,13,0,9,388799916924352,2.0,45.4,-2.1250,,,,,1575420000,,,,,,6,40.01
Raw,1781783982000,1000000000000,18,,-1465818200000000000,0,,,,0,18,0,9,388799913717921,2.0,40.5,-568.1039,,,,,1575420000,,,,,,6,40.01
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,3,0,9,388800923696736,2.0,42.4,406.2362,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,6,0,9,388800927763139,2.0,47.0,-439.5531,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,7,0,9,388800922677145,2.0,41.2,591.1680,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,10,0,9,388800928370327,2.0,48.4,213.3137,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,13,0,9,388800932462948,2.0,50.1,21.7079,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,17,0,9,388800922850977,2.0,40.3,342.5213,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,20,0,9,388800921306631,2.0,39.4,-683.1291,,,,,1575420000,,,,,,1,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,3,0,9,388800908783582,2.0,37.5,-107.2791,,,,,1575420000,,,,,,6,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,4,0,9,388800913226504,2.0,42.8,408.7350,,,,,1575420000,,,,,,6,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,8,0,9,388800918765369,2.0,49.2,-162.4543,,,,,1575420000,,,,,,6,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,9,0,9,388800914545578,2.0,43.5,229.7603,,,,,1575420000,,,,,,6,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,13,0,9,388800916924362,2.0,46.4,-2.0192,,,,,1575420000,,,,,,6,40.38
Raw,1781783983000,1001000000000,18,,-1465818200000000000,0,,,,0,18,0,9,388800913719818,2.0,41.2,-568.0716,,,,,1575420000,,,,,,6,40.38
Raw,1781783984000,1002000000000,18,,-1465818200000000000,0,,,,0,3,0,9,388801923695379,2.0,41.5,406.2970,,,,,1575420000,,,,,,1,39.80
Raw,1781783984000,1002000000000,18,,-1465818200000000000,0,,,,0,6,0,9,388801927764609,2.0,46.3,-439.4909,,,,,1575420000,,,,,,1,39.80
Raw,1781783984000,1002000000000,18,,-1465818200000000000,0,,,,0,7,0,9,388801922675170,2.0,41.9,591.2480,,,,,1575420000,,,,,,1,39.80
Raw,1781783984000,1002000000000,18,,-1465818200000000000,0,,,,0,10,0,9,388801928369613,2.0,48.7,213.3593,,,,,1575420000,,,,,,1,39.80
